id,power,speed,angle,energy,depth,t_inters
1710.1,4000,0.1667,-15,23.995200959808,1.314,0.44096850629874
1801.1,4750,0.1667,-15,28.494301139772,1.736,0.447485200959808
1802.1,4750,0.1667,-15,28.494301139772,1.612,0.459614775044991
1803.1,4750,0.1667,-15,28.494301139772,1.698,0.459374823035393
1804.1,4750,0.1667,-15,28.494301139772,1.714,0.459614775044991
1805.1,4750,0.1667,-15,28.494301139772,1.728,0.456633371325735
1806.1,4750,0.1667,-15,28.494301139772,1.594,0.456633371325735
1807.1,4750,0.1667,-15,28.494301139772,1.615,0.445421613677265
1808.1,4750,0.1667,-15,28.494301139772,1.627,0.458031091781644
1809.1,4750,0.1667,-15,28.494301139772,1.571,0.458031091781644
1810.1,4750,0.1667,-15,28.494301139772,1.491,0.445421613677265
1901.1,5500,0.1667,-15,32.9934013197361,1.931,0.45760800239952
1902.1,5500,0.1667,-15,32.9934013197361,2.023,0.45760800239952
1903.1,5500,0.1667,-15,32.9934013197361,1.867,0.45760800239952
1904.1,5500,0.1667,-15,32.9934013197361,2.016,0.444470629874025
1905.1,5500,0.1667,-15,32.9934013197361,1.868,0.444470629874025
1906.1,5500,0.1667,-15,32.9934013197361,1.926,0.45760800239952
1907.1,5500,0.1667,-15,32.9934013197361,1.931,0.45760800239952
1908.1,5500,0.1667,-15,32.9934013197361,1.912,0.456048314337133
1909.1,5500,0.1667,-15,32.9934013197361,1.928,0.445730377924415
1910.1,5500,0.1667,-15,32.9934013197361,1.846,0.456048314337133
2001.1,3000,0.1667,-20,17.996400719856,0.871,0.444076118776245
2002.1,3000,0.1667,-20,17.996400719856,0.687,0.444076118776245
2003.1,3000,0.1667,-20,17.996400719856,0.933,0.455317870425915
2004.1,3000,0.1667,-20,17.996400719856,0.867,0.444076118776245
2005.1,3000,0.1667,-20,17.996400719856,0.865,0.455317870425915
2006.1,3000,0.1667,-20,17.996400719856,0.809,0.455317870425915
2007.1,3000,0.1667,-20,17.996400719856,0.938,0.453716190761848
2008.1,3000,0.1667,-20,17.996400719856,0.882,0.455647804439112
2009.1,3000,0.1667,-20,17.996400719856,0.398,0.453716190761848
2010.1,3000,0.1667,-20,17.996400719856,0.884,0.441700593881224
2101.1,3500,0.1667,-20,20.995800839832,1.071,0.452526430713857
2102.1,3500,0.1667,-20,20.995800839832,1.21,0.455585818836233
2103.1,3500,0.1667,-20,20.995800839832,1.197,0.454326070785843
2104.1,3500,0.1667,-20,20.995800839832,1.195,0.454326070785843
2105.1,3500,0.1667,-20,20.995800839832,1.251,0.454326070785843
2106.1,3500,0.1667,-20,20.995800839832,1.2,0.453126310737852
